TIME,SRC_IP,DST_IP,PROTOCOL,L7_PROTO,L4_SRC_PORT,L4_DST_PORT,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DIRECTION,MALICIOUS_PROB,ALERT
2025-09-26T13:14:49.182364,10.235.177.30,10.235.177.198,UDP,DNS,53,50553,589,2,0,0,OTHER,34012.90488243103,incoming,0.915,True
2025-09-26T13:14:49.238752,10.235.177.30,10.235.177.198,UDP,DNS,53,52620,639,2,0,0,OTHER,12997.978925704956,incoming,0.935,True
2025-09-26T13:14:58.279817,10.235.177.198,10.235.177.30,UDP,DNS,54996,53,0,0,92,1,OTHER,9176.278114318848,outgoing,0.97,True
2025-09-26T13:14:58.308733,10.235.177.30,10.235.177.198,UDP,DNS,53,63896,398,2,0,0,OTHER,9202.585935592651,incoming,0.9383333333333334,True
2025-09-26T13:14:59.017242,10.235.177.198,10.235.177.30,UDP,DNS,50553,53,0,0,81,1,OTHER,9865.741968154907,outgoing,0.97,True
2025-09-26T13:14:59.017518,10.235.177.198,10.235.177.30,UDP,DNS,52620,53,0,0,81,1,OTHER,9865.762948989868,outgoing,0.97,True
2025-09-26T13:15:01.372358,10.235.177.198,10.235.177.30,UDP,DNS,54996,53,0,0,81,1,OTHER,3092.540979385376,outgoing,0.97,True
2025-09-26T13:15:11.058920,40.79.150.122,10.235.177.198,TCP,HTTPS,443,58287,140,2,0,0,ACK,7009.649991989136,incoming,0.9166666666666666,True
2025-09-26T13:15:11.990334,13.107.13.93,10.235.177.198,TCP,HTTPS,443,58252,2535,6,0,0,ACK,13509.382009506226,incoming,0.9466666666666667,True
2025-09-26T13:15:12.883000,10.235.177.198,10.235.177.30,UDP,DNS,63896,53,0,0,92,1,OTHER,14603.42288017273,outgoing,0.97,True
2025-09-26T13:15:12.883203,10.235.177.198,10.235.177.30,UDP,DNS,52620,53,0,0,92,1,OTHER,13865.684986114502,outgoing,0.97,True
2025-09-26T13:15:13.658349,10.235.177.198,10.235.177.30,UDP,DNS,50553,53,0,0,88,1,OTHER,14641.107082366943,outgoing,0.97,True
2025-09-26T13:15:13.658758,10.235.177.198,10.235.177.30,UDP,DNS,54996,53,0,0,88,1,OTHER,12286.399841308594,outgoing,0.97,True
2025-09-26T13:15:15.922847,10.235.177.198,13.107.13.93,TCP,HTTPS,58250,443,0,0,108,2,FIN,17564.300060272217,outgoing,0.97,True
2025-09-26T13:15:16.016384,13.107.13.93,10.235.177.198,TCP,HTTPS,443,58250,1860,3,0,0,ACK,17546.340942382812,incoming,0.9466666666666667,True
